Route,Stop_Name,Latitude,Longitude,,From_Stop,To_Stop,,,,Stop_Name
Dublin - Belfast,Dundalk (Clarke) ,54.001087,-6.412385,,Dundalk (Clarke) ,Newry ,,,,Drumcondra 
Dublin - Belfast,Newry ,54.188659,-6.362413,,Newry ,Portadown ,,,,Leixlip(Louisa Bridge) 
Dublin - Belfast,Portadown ,54.424993,-6.445312,,Portadown ,Belfast ,,,,Broombridge 
Dublin - Belfast,Belfast ,54.595573,-5.917156,,,,,,,Pelletstown 
,,,,,,,,,,Ashtown 
Tralee - Mallow,Tralee (Casement) ,52.270977,-9.699159,,Tralee (Casement) ,Farranfore ,,,,Navan Road Parkway 
Tralee - Mallow,Farranfore ,52.173786,-9.55191,,Farranfore ,Killarney ,,,,Castleknock 
Tralee - Mallow,Killarney ,52.0591,-9.499003,,Killarney ,Rathmore ,,,,Coolmine 
Tralee - Mallow,Rathmore ,52.085249,-9.2182,,Rathmore ,Millstreet ,,,,Clonsilla 
Tralee - Mallow,Millstreet ,52.077116,-9.070677,,Millstreet ,Banteer ,,,,Leixlip(Confey) 
Tralee - Mallow,Banteer ,52.128957,-8.898573,,Banteer ,Mallow ,,,,Hansfield 
Tralee - Mallow,Mallow ,52.138563,-8.654962,,,,,,,Dunboyne 
,,,,,,,,,,M3 Parkway 
Tralee - Cork,Tralee (Casement) ,52.270977,-9.699159,,Tralee (Casement) ,Farranfore ,,,,Cobh 
Tralee - Cork,Farranfore ,52.173786,-9.55191,,Farranfore ,Killarney ,,,,Rushbrooke 
Tralee - Cork,Killarney ,52.0591,-9.499003,,Killarney ,Rathmore ,,,,Carrigaloe 
Tralee - Cork,Rathmore ,52.085249,-9.2182,,Rathmore ,Millstreet ,,,,Fota 
Tralee - Cork,Millstreet ,52.077116,-9.070677,,Millstreet ,Banteer ,,,,Glounthaune 
Tralee - Cork,Banteer ,52.128957,-8.898573,,Banteer ,Mallow ,,,,Little Island 
Tralee - Cork,Mallow ,52.138563,-8.654962,,Mallow ,Cork (Kent) ,,,,Carrigtwohill 
Tralee - Cork,Cork (Kent) ,51.901363,-8.458343,,,,,,,Midleton 
,,,,,,,,,,Laytown 
Cork - Tralee,Cork (Kent) ,51.901363,-8.458343,,Cork (Kent) ,Mallow ,,,,Gormanston 
Cork - Tralee,Mallow ,52.138563,-8.654962,,Mallow ,Banteer ,,,,Balbriggan 
Cork - Tralee,Banteer ,52.128957,-8.898573,,Banteer ,Millstreet ,,,,Skerries 
Cork - Tralee,Millstreet ,52.077116,-9.070677,,Millstreet ,Rathmore ,,,,Rush and Lusk 
Cork - Tralee,Rathmore ,52.085249,-9.2182,,Rathmore ,Killarney ,,,,Donabate 
Cork - Tralee,Killarney ,52.0591,-9.499003,,Killarney ,Farranfore ,,,,
Cork - Tralee,Farranfore ,52.173786,-9.55191,,Farranfore ,Tralee (Casement) ,,,,
Cork - Tralee,Tralee (Casement) ,52.270977,-9.699159,,,,,,,
,,,,,,,,,,
Mallow - Tralee,Mallow ,52.138563,-8.654962,,Mallow ,Banteer ,,,,
Mallow - Tralee,Banteer ,52.128957,-8.898573,,Banteer ,Millstreet ,,,,
Mallow - Tralee,Millstreet ,52.077116,-9.070677,,Millstreet ,Rathmore ,,,,
Mallow - Tralee,Rathmore ,52.085249,-9.2182,,Rathmore ,Killarney ,,,,
Mallow - Tralee,Killarney ,52.0591,-9.499003,,Killarney ,Farranfore ,,,,
Mallow - Tralee,Farranfore ,52.173786,-9.55191,,Farranfore ,Tralee (Casement) ,,,,
Mallow - Tralee,Tralee (Casement) ,52.270977,-9.699159,,,,,,,
,,,,,,,,,,
Tralee - Dublin,Tralee (Casement) ,52.270977,-9.699159,,Tralee (Casement) ,Farranfore ,,,,
Tralee - Dublin,Farranfore ,52.173786,-9.55191,,Farranfore ,Killarney ,,,,
Tralee - Dublin,Killarney ,52.0591,-9.499003,,Killarney ,Rathmore ,,,,
Tralee - Dublin,Rathmore ,52.085249,-9.2182,,Rathmore ,Millstreet ,,,,
Tralee - Dublin,Millstreet ,52.077116,-9.070677,,Millstreet ,Banteer ,,,,
Tralee - Dublin,Banteer ,52.128957,-8.898573,,Banteer ,Mallow ,,,,
Tralee - Dublin,Mallow ,52.138563,-8.654962,,Mallow ,Charleville ,,,,
Tralee - Dublin,Charleville ,52.347171,-8.653624,,Charleville ,Limerick Junction ,,,,
Tralee - Dublin,Limerick Junction ,52.503684,-8.197243,,Limerick Junction ,Dublin Heuston ,,,,
Tralee - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Dublin - Tralee,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Ballybrophy ,,,,
Dublin - Tralee,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Templemore ,,,,
Dublin - Tralee,Templemore ,52.788104,-7.822693,,Templemore ,Thurles ,,,,
Dublin - Tralee,Thurles ,52.676987,-7.821568,,Thurles ,Charleville ,,,,
Dublin - Tralee,Charleville ,52.347171,-8.653624,,Charleville ,Mallow ,,,,
Dublin - Tralee,Mallow ,52.138563,-8.654962,,Mallow ,Banteer ,,,,
Dublin - Tralee,Banteer ,52.128957,-8.898573,,Banteer ,Millstreet ,,,,
Dublin - Tralee,Millstreet ,52.077116,-9.070677,,Millstreet ,Rathmore ,,,,
Dublin - Tralee,Rathmore ,52.085249,-9.2182,,Rathmore ,Killarney ,,,,
Dublin - Tralee,Killarney ,52.0591,-9.499003,,Killarney ,Farranfore ,,,,
Dublin - Tralee,Farranfore ,52.173786,-9.55191,,Farranfore ,Tralee (Casement) ,,,,
Dublin - Tralee,Tralee (Casement) ,52.270977,-9.699159,,,,,,,
,,,,,,,,,,
Dublin - Limerick,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Monasterevin ,,,,
Dublin - Limerick,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Portarlington ,,,,
Dublin - Limerick,Portarlington ,53.14605,-7.180555,,Portarlington ,Portlaoise ,,,,
Dublin - Limerick,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Ballybrophy ,,,,
Dublin - Limerick,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Templemore ,,,,
Dublin - Limerick,Templemore ,52.788104,-7.822693,,Templemore ,Thurles ,,,,
Dublin - Limerick,Thurles ,52.676987,-7.821568,,Thurles ,Limerick Junction ,,,,
Dublin - Limerick,Limerick Junction ,52.503684,-8.197243,,Limerick Junction ,Limerick (Colbert) ,,,,
Dublin - Limerick,Limerick (Colbert) ,52.658909,-8.624813,,,,,,,
,,,,,,,,,,
Limerick - Dublin,Limerick (Colbert) ,52.658909,-8.624813,,Limerick (Colbert) ,Limerick Junction ,,,,
Limerick - Dublin,Limerick Junction ,52.503684,-8.197243,,Limerick Junction ,Thurles ,,,,
Limerick - Dublin,Thurles ,52.676987,-7.821568,,Thurles ,Templemore ,,,,
Limerick - Dublin,Templemore ,52.788104,-7.822693,,Templemore ,Ballybrophy ,,,,
Limerick - Dublin,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Portlaoise ,,,,
Limerick - Dublin,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Monasterevin ,,,,
Limerick - Dublin,Monasterevin ,53.145481,-7.063798,,Monasterevin ,Kildare ,,,,
Limerick - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Dublin Heuston ,,,,
Limerick - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Dublin - Limerick,Dublin Heuston ,53.346404,-6.293487,,Dublin Heuston ,Kildare ,,,,
Dublin - Limerick,Kildare ,53.162778,-6.907936,,Kildare ,Portarlington ,,,,
Dublin - Limerick,Portarlington ,53.14605,-7.180555,,Portarlington ,Portlaoise ,,,,
Dublin - Limerick,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Ballybrophy ,,,,
Dublin - Limerick,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Templemore ,,,,
Dublin - Limerick,Templemore ,52.788104,-7.822693,,Templemore ,Thurles ,,,,
Dublin - Limerick,Thurles ,52.676987,-7.821568,,Thurles ,Limerick (Colbert) ,,,,
Dublin - Limerick,Limerick (Colbert) ,52.658909,-8.624813,,,,,,,
,,,,,,,,,,
Limerick - Dublin,Limerick (Colbert) ,52.658909,-8.624813,,Limerick (Colbert) ,Thurles ,,,,
Limerick - Dublin,Thurles ,52.676987,-7.821568,,Thurles ,Templemore ,,,,
Limerick - Dublin,Templemore ,52.788104,-7.822693,,Templemore ,Ballybrophy ,,,,
Limerick - Dublin,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Portlaoise ,,,,
Limerick - Dublin,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Newbridge ,,,,
Limerick - Dublin,Newbridge ,53.185394,-6.808223,,Newbridge ,Dublin Heuston ,,,,
Limerick - Dublin,Dublin Heuston ,53.346404,-6.293487,,,,,,,
,,,,,,,,,,
Limerick - Dublin,Limerick (Colbert) ,52.658909,-8.624813,,Limerick (Colbert) ,Thurles ,,,,
Limerick - Dublin,Thurles ,52.676987,-7.821568,,Thurles ,Templemore ,,,,
Limerick - Dublin,Templemore ,52.788104,-7.822693,,Templemore ,Ballybrophy ,,,,
Limerick - Dublin,Ballybrophy ,52.900756,-7.600913,,Ballybrophy ,Portlaoise ,,,,
Limerick - Dublin,Portlaoise ,53.036748,-7.301227,,Portlaoise ,Portarlington ,,,,
Limerick - Dublin,Portarlington ,53.14605,-7.180555,,Portarlington ,Kildare ,,,,
Limerick - Dublin,Kildare ,53.162778,-6.907936,,Kildare ,Sallins and Naas ,,,,
