Route,Stop_Name,Latitude,Longitude,,From_Stop,To_Stop,,,,Stop_Name
Mallow - Cork,Mallow ,52.138563,-8.654962,,Mallow ,Cork (Kent) ,,,,
Cork - Mallow,Cork (Kent) ,51.901363,-8.458343,,,,,,,
,,,,,,,,,,
Dundalk - Dublin,Dundalk (Clarke) ,54.001087,-6.412385,,Dundalk (Clarke) ,Drogheda (Macbride) ,,,,
Dundalk - Dublin,Drogheda (Macbride) ,53.711842,-6.335709,,Drogheda (Macbride) ,Laytown ,,,,
Dundalk - Dublin,Laytown ,53.679359,-6.242523,,Laytown ,Gormanston ,,,,
Dundalk - Dublin,Gormanston ,53.638089,-6.217406,,Gormanston ,Balbriggan ,,,,
Dundalk - Dublin,Balbriggan ,53.611807,-6.182205,,Balbriggan ,Skerries ,,,,
Dundalk - Dublin,Skerries ,53.573977,-6.118848,,Skerries ,Rush and Lusk ,,,,
Dundalk - Dublin,Rush and Lusk ,53.520782,-6.143644,,Rush and Lusk ,Donabate ,,,,
Dundalk - Dublin,Donabate ,53.485508,-6.151344,,Donabate ,Malahide ,,,,
Dundalk - Dublin,Malahide ,53.450686,-6.156293,,Malahide ,Portmarnock ,,,,
Dundalk - Dublin,Portmarnock ,53.418177,-6.151142,,Portmarnock ,Clongriffin ,,,,
Dundalk - Dublin,Clongriffin ,53.402514,-6.149029,,Clongriffin ,Howth Junction and Donaghmede ,,,,
Dundalk - Dublin,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Dublin Connolly ,,,,
Dundalk - Dublin,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Tara Street ,,,,
Dundalk - Dublin,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Pearse ,,,,
Dundalk - Dublin,Dublin Pearse ,53.343252,-6.248048,,,,,,,
,,,,,,,,,,
Dublin - Dundalk,Dublin Pearse ,53.343252,-6.248048,,Dublin Pearse ,Tara Street ,,,,
Dublin - Dundalk,Tara Street ,53.347264,-6.254359,,Tara Street ,Dublin Connolly ,,,,
Dublin - Dundalk,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Howth Junction and Donaghmede ,,,,
Dublin - Dundalk,Howth Junction and Donaghmede ,53.391496,-6.155434,,Howth Junction and Donaghmede ,Clongriffin ,,,,
Dublin - Dundalk,Clongriffin ,53.402514,-6.149029,,Clongriffin ,Portmarnock ,,,,
Dublin - Dundalk,Portmarnock ,53.418177,-6.151142,,Portmarnock ,Malahide ,,,,
Dublin - Dundalk,Malahide ,53.450686,-6.156293,,Malahide ,Donabate ,,,,
Dublin - Dundalk,Donabate ,53.485508,-6.151344,,Donabate ,Rush and Lusk ,,,,
Dublin - Dundalk,Rush and Lusk ,53.520782,-6.143644,,Rush and Lusk ,Skerries ,,,,
Dublin - Dundalk,Skerries ,53.573977,-6.118848,,Skerries ,Balbriggan ,,,,
Dublin - Dundalk,Balbriggan ,53.611807,-6.182205,,Balbriggan ,Gormanston ,,,,
Dublin - Dundalk,Gormanston ,53.638089,-6.217406,,Gormanston ,Laytown ,,,,
Dublin - Dundalk,Laytown ,53.679359,-6.242523,,Laytown ,Drogheda (Macbride) ,,,,
Dublin - Dundalk,Drogheda (Macbride) ,53.711842,-6.335709,,Drogheda (Macbride) ,Dundalk (Clarke) ,,,,
Dublin - Dundalk,Dundalk (Clarke) ,54.001087,-6.412385,,,,,,,
,,,,,,,,,,
Dublin - Drogheda,Dublin Connolly ,53.352586,-6.247731,,Dublin Connolly ,Malahide ,,,,
Dublin - Drogheda,Malahide ,53.450686,-6.156293,,Malahide ,Donabate ,,,,
Dublin - Drogheda,Donabate ,53.485508,-6.151344,,Donabate ,Rush and Lusk ,,,,
Dublin - Drogheda,Rush and Lusk ,53.520782,-6.143644,,Rush and Lusk ,Skerries ,,,,
Dublin - Drogheda,Skerries ,53.573977,-6.118848,,Skerries ,Balbriggan ,,,,
Dublin - Drogheda,Balbriggan ,53.611807,-6.182205,,Balbriggan ,Gormanston ,,,,
Dublin - Drogheda,Gormanston ,53.638089,-6.217406,,Gormanston ,Laytown ,,,,
Dublin - Drogheda,Laytown ,53.679359,-6.242523,,Laytown ,Drogheda (Macbride) ,,,,
Dublin - Drogheda,Drogheda (Macbride) ,53.711842,-6.335709,,,,,,,
